loan_id,product,vintage,origination_date,ticket,term_months,default_mob,default_flag
21250213479,CreditFresh,2025-02,2025-02-15,1635.67,9,-1,0
21250500681,CreditFresh,2025-05,2025-05-26,1865.3,9,-1,0
21251009397,CreditFresh,2025-10,2025-10-30,1642.65,9,-1,0
21251036126,CreditFresh,2025-10,2025-10-21,1624.72,9,-1,0
21260323741,CreditFresh,2026-03,2026-03-08,1636.77,9,-1,0
21260427995,CreditFresh,2026-04,2026-04-16,1926.58,9,-1,0
21260437660,CreditFresh,2026-04,2026-04-22,1908.55,9,-1,0
21260607435,CreditFresh,2026-06,2026-06-14,1677.61,9,6,1
22240921595,MoneyKey,2024-09,2024-09-27,643.37,5,-1,0
22240930397,MoneyKey,2024-09,2024-09-24,645.74,5,1,1
22241109093,MoneyKey,2024-11,2024-11-27,767.24,5,1,1
22241126377,MoneyKey,2024-11,2024-11-30,683.23,5,-1,0
22241136702,MoneyKey,2024-11,2024-11-06,762.45,5,-1,0
22241239272,MoneyKey,2024-12,2024-12-29,708.77,5,-1,0
22250201019,MoneyKey,2025-02,2025-02-25,651.39,5,-1,0
22250227147,MoneyKey,2025-02,2025-02-16,684.71,5,4,1
22250311602,MoneyKey,2025-03,2025-03-06,764.32,5,5,1
22250323185,MoneyKey,2025-03,2025-03-06,768.41,5,-1,0
22250610416,MoneyKey,2025-06,2025-06-13,690.05,5,-1,0
22260413581,MoneyKey,2026-04,2026-04-08,761.86,5,-1,0
