product,mob,cum_default
CreditFresh,0,0.0
CreditFresh,1,0.04871621816833471
CreditFresh,2,0.08682232963958311
CreditFresh,3,0.11647509603530465
CreditFresh,4,0.13994158135163337
CreditFresh,5,0.15837967434007255
CreditFresh,6,0.17266615220873965
CreditFresh,7,0.18390262989934214
CreditFresh,8,0.1927501037059084
CreditFresh,9,0.19983238669958353
MoneyKey,0,0.0
MoneyKey,1,0.14141193819866055
MoneyKey,2,0.2326470660641864
MoneyKey,3,0.2907040412055704
MoneyKey,4,0.32827975913099877
MoneyKey,5,0.3525204476503633
