loan_id,product,origination_month,loan_amount,annual_rate_pct,status,default_month_on_book,months_observed
1,Short-Term,1,1621.89,36.0,current,,23
2,Short-Term,1,1800.18,36.0,current,,23
3,Short-Term,1,719.59,36.0,current,,23
4,Short-Term,1,1551.14,36.0,current,,23
5,Short-Term,1,1493.28,36.0,current,,23
6,Short-Term,1,1851.76,36.0,current,,23
7,Short-Term,1,1526.41,36.0,current,,23
8,Short-Term,1,1687.0,36.0,current,,23
9,Short-Term,1,1647.5,36.0,defaulted,5.5,23
10,Short-Term,1,1480.03,36.0,current,,23
11,Short-Term,1,1227.63,36.0,current,,23
12,Short-Term,1,1438.19,36.0,current,,23
13,Short-Term,1,1359.15,36.0,current,,23
14,Short-Term,1,1646.18,36.0,current,,23
15,Short-Term,1,1672.33,36.0,current,,23
16,Short-Term,1,1337.43,36.0,current,,23
17,Short-Term,1,1174.49,36.0,current,,23
18,Short-Term,1,1951.59,36.0,current,,23
19,Short-Term,1,1163.94,36.0,current,,23
20,Short-Term,1,1760.24,36.0,current,,23
21,Short-Term,1,1717.26,36.0,current,,23
22,Short-Term,1,1592.86,36.0,current,,23
23,Short-Term,1,1587.48,36.0,current,,23
24,Short-Term,1,1589.44,36.0,current,,23
25,Short-Term,1,1527.03,36.0,current,,23
26,Short-Term,1,1752.52,36.0,current,,23
27,Short-Term,1,1372.13,36.0,current,,23
28,Short-Term,1,1244.45,36.0,current,,23
29,Short-Term,1,2097.98,36.0,current,,23
30,Short-Term,1,1887.31,36.0,current,,23
31,Short-Term,1,1366.05,36.0,current,,23
32,Short-Term,1,1734.49,36.0,current,,23
33,Short-Term,1,1817.34,36.0,defaulted,3.0,23
34,Short-Term,1,1843.19,36.0,current,,23
35,Short-Term,1,989.73,36.0,current,,23
36,Short-Term,1,1132.22,36.0,current,,23
37,Short-Term,1,1556.97,36.0,current,,23
38,Short-Term,1,1329.1,36.0,current,,23
39,Short-Term,1,1750.24,36.0,current,,23
40,Short-Term,1,1682.71,36.0,current,,23
41,Short-Term,1,1354.78,36.0,defaulted,4.5,23
42,Short-Term,1,1694.79,36.0,current,,23
43,Short-Term,1,1505.0,36.0,current,,23
44,Short-Term,1,1678.61,36.0,current,,23
45,Short-Term,1,1460.61,36.0,current,,23
46,Short-Term,1,1468.11,36.0,current,,23
47,Short-Term,1,921.16,36.0,defaulted,8.5,23
48,Short-Term,1,1659.91,36.0,current,,23
49,Short-Term,1,1348.73,36.0,current,,23
50,Short-Term,1,1357.49,36.0,current,,23
51,Short-Term,1,1126.55,36.0,current,,23
52,Short-Term,1,1119.99,36.0,current,,23
53,Short-Term,1,1836.12,36.0,current,,23
54,Short-Term,1,1673.77,36.0,current,,23
55,Short-Term,1,1262.34,36.0,current,,23
56,Short-Term,1,1528.85,36.0,current,,23
57,Short-Term,1,1593.07,36.0,current,,23
58,Short-Term,1,2140.71,36.0,current,,23
59,Short-Term,1,1090.6,36.0,current,,23
60,Short-Term,1,1588.0,36.0,current,,23
61,Short-Term,1,1834.04,36.0,current,,23
62,Short-Term,1,2085.32,36.0,current,,23
63,Short-Term,1,1244.1,36.0,current,,23
64,Short-Term,1,1344.08,36.0,current,,23
65,Short-Term,1,1754.06,36.0,defaulted,8.5,23
66,Short-Term,1,1093.77,36.0,current,,23
67,Short-Term,1,1835.25,36.0,current,,23
68,Short-Term,1,2665.54,36.0,current,,23
69,Short-Term,1,1104.18,36.0,current,,23
70,Short-Term,1,1607.08,36.0,current,,23
71,Short-Term,1,1333.86,36.0,current,,23
72,Short-Term,1,1443.68,36.0,current,,23
73,Short-Term,1,1562.82,36.0,current,,23
74,Short-Term,1,1085.74,36.0,defaulted,4.5,23
75,Short-Term,1,1478.49,36.0,current,,23
76,Short-Term,1,1552.11,36.0,defaulted,7.0,23
77,Short-Term,1,1026.02,36.0,defaulted,3.5,23
78,Short-Term,1,2351.39,36.0,current,,23
79,Short-Term,1,1835.4,36.0,current,,23
80,Short-Term,1,1872.63,36.0,current,,23
81,Short-Term,1,1437.34,36.0,current,,23
82,Short-Term,1,1238.08,36.0,current,,23
83,Short-Term,1,1318.01,36.0,current,,23
84,Short-Term,1,988.82,36.0,current,,23
85,Short-Term,1,2131.64,36.0,current,,23
86,Short-Term,1,1452.54,36.0,current,,23
87,Short-Term,1,2022.4,36.0,current,,23
88,Short-Term,1,1335.63,36.0,current,,23
89,Short-Term,1,1671.5,36.0,current,,23
90,Short-Term,1,1573.29,36.0,current,,23
91,Short-Term,1,952.74,36.0,current,,23
92,Short-Term,1,2189.47,36.0,current,,23
93,Short-Term,1,1346.73,36.0,current,,23
94,Short-Term,1,1057.18,36.0,current,,23
95,Short-Term,1,1757.33,36.0,current,,23
96,Short-Term,1,1497.95,36.0,current,,23
97,Short-Term,1,1635.03,36.0,current,,23
98,Short-Term,1,1536.23,36.0,current,,23
99,Short-Term,1,679.93,36.0,current,,23
100,Short-Term,1,1162.71,36.0,current,,23
101,Short-Term,1,1148.74,36.0,current,,23
102,Short-Term,1,1866.36,36.0,current,,23
103,Short-Term,1,1512.25,36.0,current,,23
104,Short-Term,1,1695.41,36.0,current,,23
105,Short-Term,1,1368.93,36.0,current,,23
106,Short-Term,1,1715.25,36.0,current,,23
107,Short-Term,1,1438.2,36.0,current,,23
108,Short-Term,1,1410.46,36.0,current,,23
109,Short-Term,1,1570.63,36.0,defaulted,1.0,23
110,Short-Term,1,1591.29,36.0,current,,23
111,Short-Term,1,2250.74,36.0,current,,23
112,Short-Term,1,1385.05,36.0,current,,23
113,Short-Term,1,1263.72,36.0,defaulted,1.0,23
114,Short-Term,1,1208.37,36.0,current,,23
115,Short-Term,1,641.08,36.0,current,,23
116,Short-Term,1,1075.03,36.0,current,,23
117,Short-Term,1,2384.42,36.0,current,,23
118,Short-Term,1,1149.26,36.0,current,,23
119,Short-Term,1,796.91,36.0,current,,23
120,Short-Term,1,2351.7,36.0,current,,23
121,Short-Term,1,1061.29,36.0,current,,23
122,Short-Term,1,2662.03,36.0,defaulted,4.0,23
123,Short-Term,1,1636.62,36.0,current,,23
124,Short-Term,1,1105.26,36.0,current,,23
125,Short-Term,1,1810.94,36.0,current,,23
126,Short-Term,1,1349.54,36.0,current,,23
127,Short-Term,1,950.04,36.0,defaulted,0.5,23
128,Short-Term,1,1592.87,36.0,defaulted,3.5,23
129,Short-Term,1,1905.09,36.0,current,,23
130,Short-Term,1,1640.7,36.0,current,,23
131,Short-Term,1,1500.03,36.0,current,,23
132,Short-Term,1,1626.6,36.0,current,,23
133,Short-Term,1,2625.63,36.0,current,,23
134,Short-Term,1,2129.34,36.0,current,,23
135,Short-Term,1,1194.78,36.0,current,,23
136,Short-Term,1,1604.46,36.0,defaulted,6.0,23
137,Short-Term,1,1605.1,36.0,current,,23
138,Short-Term,1,802.17,36.0,current,,23
139,Short-Term,1,1681.77,36.0,current,,23
140,Short-Term,1,1311.39,36.0,current,,23
141,Short-Term,1,1520.99,36.0,current,,23
142,Short-Term,1,1458.6,36.0,current,,23
143,Short-Term,1,1561.03,36.0,current,,23
144,Short-Term,1,473.34,36.0,current,,23
145,Short-Term,1,1570.6,36.0,current,,23
146,Short-Term,1,1351.23,36.0,current,,23
147,Short-Term,1,1631.2,36.0,current,,23
148,Short-Term,1,886.46,36.0,current,,23
149,Short-Term,1,1368.59,36.0,current,,23
150,Short-Term,1,1078.84,36.0,current,,23
151,Short-Term,1,2020.02,36.0,current,,23
152,Short-Term,1,2192.92,36.0,current,,23
153,Short-Term,1,1675.63,36.0,current,,23
154,Short-Term,1,1675.6,36.0,current,,23
155,Short-Term,1,1381.37,36.0,current,,23
156,Short-Term,1,1221.03,36.0,current,,23
157,Short-Term,1,1028.68,36.0,current,,23
158,Short-Term,1,1423.74,36.0,current,,23
159,Short-Term,1,1800.35,36.0,current,,23
160,Short-Term,1,1792.31,36.0,current,,23
161,Short-Term,1,1473.22,36.0,current,,23
162,Short-Term,1,1292.69,36.0,current,,23
163,Short-Term,1,1755.01,36.0,current,,23
164,Short-Term,1,1094.51,36.0,current,,23
165,Short-Term,1,1013.38,36.0,defaulted,4.0,23
166,Short-Term,1,1239.07,36.0,current,,23
167,Short-Term,1,1743.5,36.0,current,,23
168,Short-Term,1,1621.75,36.0,current,,23
169,Short-Term,1,1665.56,36.0,current,,23
170,Short-Term,1,674.7,36.0,current,,23
171,Short-Term,1,1736.36,36.0,defaulted,1.0,23
172,Short-Term,1,1647.34,36.0,current,,23
173,Short-Term,1,1271.62,36.0,current,,23
174,Short-Term,1,1927.39,36.0,current,,23
175,Short-Term,1,1593.76,36.0,current,,23
176,Short-Term,1,1154.66,36.0,current,,23
177,Short-Term,1,1438.99,36.0,current,,23
178,Short-Term,1,1899.93,36.0,current,,23
179,Short-Term,1,1450.0,36.0,current,,23
180,Short-Term,1,1202.56,36.0,current,,23
181,Short-Term,1,1580.92,36.0,current,,23
182,Short-Term,1,1504.57,36.0,current,,23
183,Short-Term,1,1842.72,36.0,current,,23
184,Short-Term,1,1721.65,36.0,current,,23
185,Short-Term,1,1417.94,36.0,current,,23
186,Short-Term,1,2141.7,36.0,current,,23
187,Short-Term,1,1543.15,36.0,current,,23
188,Short-Term,1,859.1,36.0,current,,23
189,Short-Term,1,859.49,36.0,current,,23
